Date,RFID_hex,Band,Genus,Species,Sex,Age,Time,Site,Mass,Tail_Length,Wing_Length,Fat_Code,R1_Percent_Rufous,R1_Black_Code,Back_Percent_Green,Gorget_Iridescence,Head_Iridescence,Breeding_Condition_Code,Body_Molt_Code,Gorget_Molt_Code,Head_Molt_Code,Tail_Molt_Code,Primary_Molt_Code
2018-11-15,3D6.1D593E1A5A,A00000879,Selasphorus,ALHU,M,HY,16:10:00,BH,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A18,A00000880,Calypte,ANHU,M,AHY,15:42:00,BH,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
2018-11-15,3D6.1D593E1A2F,A00000881,Calypte,ANHU,F,NA,15:42:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2018-11-15,3D6.1D593E1A53,A00000882,Selasphorus,ALHU,M,AHY,15:08:00,BH,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A4B,A00000883,Calypte,ANHU,F,NA,15:07:00,BH,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E19BE,A00000884,Calypte,ANHU,M,HY,14:48:00,BH,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,3,9
2018-11-15,3D6.1D593E1A25,A00000885,Calypte,ANHU,F,AHY,14:48:00,BH,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A42,A00000842,Calypte,ANHU,M,NA,14:16:00,BH,NA,NA,50,NA,NA,NA,NA,10,10,NA,NA,NA,NA,0,0
2018-11-15,3D6.1D593E1A58,A00000886,Calypte,ANHU,M,AHY,14:16:00,BH,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A1F,A00000841,Calypte,ANHU,M,HY,14:04:00,BH,NA,NA,0,0,NA,NA,NA,4,2,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A26,A00000840,Selasphorus,ALHU,M,HY,13:47:00,BH,NA,NA,41,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
2018-11-15,3D6.1D593E1A3D,A00000839,Calypte,ANHU,F,NA,13:35:00,BH,NA,NA,0,0,NA,NA,NA,20,0,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A21,A00000838,Selasphorus,ALHU,M,AHY,11:59:00,BH,NA,NA,39,0,80,NA,95,10,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A2A,A00000837,Calypte,ANHU,M,HY,11:59:00,BH,NA,NA,0,0,NA,NA,NA,3,1,NA,0,0,0,0,0
2018-11-15,3D6.1D58A583BB,A00000836,Calypte,ANHU,M,HY,11:30:00,BH,NA,NA,50,0,NA,NA,NA,5,1,NA,0,0,0,0,0
2018-11-15,3D6.1D593E198D,A00000835,Selasphorus,ALHU,M,AHY,11:25:00,BH,NA,27,38,NA,85,NA,95,10,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A59,A00000834,Calypte,ANHU,F,NA,11:03:00,BH,NA,NA,0,0,NA,NA,NA,14,0,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A4D,A00000833,Calypte,ANHU,F,NA,11:03:00,BH,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E19B5,A00000832,Calypte,ANHU,F,NA,10:33:00,BH,NA,NA,0,NA,NA,NA,NA,40,0,NA,NA,NA,NA,0,0
2018-11-15,3D6.1D593E1A34,A00000831,Calypte,ANHU,M,HY,10:33:00,BH,NA,NA,0,0,NA,NA,NA,2,0,NA,0,0,0,0,0
2018-11-15,3D6.1D593E19B9,A00000830,Calypte,ANHU,M,NA,10:09:00,BH,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E19C0,A00000829,Selasphorus,ALHU,M,NA,10:08:00,BH,NA,2.6,39,0,80,NA,90,10,NA,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1965,A00000828,Calypte,ANHU,M,NA,09:44:00,BH,NA,NA,0,0,NA,NA,NA,10,10,NA,0,0,0,0,0
2018-11-15,3D6.1D593E1A07,A00000825,Selasphorus,ALHU,F,NA,09:25:00,BH,NA,NA,41,0,80,2,NA,10,NA,NA,0,0,0,NA,6
2018-11-15,3D6.1D593E19C5,A00000826,Calypte,ANHU,F,NA,09:24:00,BH,NA,NA,0,NA,NA,NA,NA,16,0,NA,NA,NA,NA,0,0
2018-11-15,3D6.1D593E19FF,A00000824,Calypte,ANHU,F,NA,08:46:00,BH,NA,NA,0,0,NA,NA,NA,6,0,NA,0,0,0,0,0
2018-11-15,3D6.1D593E197F,A00000823,Calypte,ANHU,F,AHY,08:46:00,BH,NA,NA,47,0,NA,NA,NA,80,2,0,0,0,0,0,0
2018-10-31,3D6.1D593E19D0,A00001465,Calypte,ANHU,F,NA,16:30:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E1991,910070545,Calypte,ANHU,M,AHY,16:22:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E19D9,A00001470,Calypte,ANHU,M,HY,16:07:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E1963,A00001467,Calypte,ANHU,F,NA,15:59:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E1980,A00001468,Calypte,ANHU,F,NA,15:48:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E199B,A00001469,Calypte,ANHU,F,NA,15:42:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E1966,A00001471,Calypte,ANHU,F,AHY,15:29:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E19C2,A00001472,Calypte,ANHU,M,NA,15:11:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E19BD,A00001473,Calypte,ANHU,F,AHY,15:07:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E1990,A00001474,Calypte,ANHU,F,AHY,15:04:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E195F,A00001475,Calypte,ANHU,M,HY,14:36:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.00184967D7,A00001453,Calypte,ANHU,M,AHY,14:34:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E1956,A00001476,Calypte,ANHU,M,HY,14:15:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E19A0,A00001477,Calypte,ANHU,F,NA,14:08:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E19CC,610089820,Calypte,ANHU,M,HY,13:46:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E19DC,A00001478,Calypte,ANHU,F,NA,13:34:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E19D3,A00001479,Calypte,ANHU,M,NA,13:20:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E19DB,A00001480,Calypte,ANHU,F,NA,12:54:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593E19D4,A00001481,Calypte,ANHU,M,AHY,12:52:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,3D6.1D593D7876,610089817,Calypte,ANHU,M,HY,01:16:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-16,3D6.1D593E1963,A00001504,Calypte,ANHU,F,HY,10:15:00,SB,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,3D6.1D593E1983,A00001502,Selasphorus,ALHU,F,AHY,16:30:00,BH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
